"2020-00-06","5;37","5:47","7:06","13:05","16:26","19:00","20;13"
"2017-12-20","5:50","6:00","7:20","13:18","16:40","19:12","20:27"
"2017-12-21","5:50","6:00","7:21","13:19","16:41","19:12","20:27"
"2017-12-22","5:51","6:01","7:21","13:19","16:42","19:13","20:28"
"2017-12-23","5:51","6:01","7:22","13:20","16:42","19:13","20:28"
"2017-12-24","5:52","6:02","7:22","13:20","16:43","19:14","20:29"
"2017-12-25","5:52","6:02","7:23","13:21","16:43","19:14","20:29"
"2017-12-26","5:53","6:03","7:23","13:21","16:44","19:15","20:30"
"2017-12-27","5:53","6:03","7:24","13:22","16:44","19:15","20:30"
"2017-12-28","5:54","6:04","7:24","13:22","16:45","19:16","20:31"
"2017-12-29","5:54","6:04","7:25","13:23","16:45","19:16","20:31"
"2017-12-30","5:55","6:05","7:25","13:23","16:46","19:17","20:32"
"2017-12-31","5:55","6:05","7:26","13:24","16:46","19:17","20:32"
